seg seg cht_mean slope_mean relief_mean Lh_mean
61 61 -0.118991646259 0.592112945578 13.7228612245 24.0592741497
62 62 -0.180094757576 0.645110593939 14.9469442424 23.2853218182
63 63 -0.135710396313 0.554099506912 16.9051170507 33.4142709677
64 64 -0.198183828452 0.673057364017 17.9880196653 26.5396824268
65 65 -0.220510707113 0.673111246862 15.2872096234 22.5379769874
66 66 -0.161687276151 0.643540535565 13.8339384937 21.3820648536
67 67 -0.0864652067308 0.514824716346 18.46098125 36.2051326923
68 68 -0.106206285714 0.57241832 17.9518342857 31.2301754286
69 69 -0.097770472103 0.587085472103 18.64142103 31.6624527897
70 70 -0.161028346939 0.499087729592 7.64844489796 15.377640051
71 71 -0.103629918129 0.576472538012 10.8806164912 18.5278280702
72 72 -0.137721399177 0.424039588477 11.3881334156 29.6188835391
73 73 -0.177413099338 0.599857331126 7.24675476821 11.8063374172
74 74 -0.10145843956 0.613966274725 15.8771021978 25.7741813187
75 75 -0.164003941489 0.579927760638 12.1053978191 20.2996542553
76 76 -0.163611616667 0.4213136125 10.479915625 27.3544558333
77 77 -0.345743852217 0.663018862069 8.92218147783 13.095076798
78 78 -0.272808207207 0.658538045045 7.52007666667 10.9785945946
79 79 -0.143475604651 0.540785286822 15.4306449612 28.2073077519
80 80 -0.163527219626 0.602970056075 16.713714486 27.6913621495
81 81 -0.0711092173913 0.58410813913 17.6315226087 30.0472813043
82 82 -0.0154023529412 0.503561336134 22.2617138655 44.0711054622
83 83 -0.0373522510638 0.434884625532 24.6585804255 56.9956778723
84 84 -0.0444785291667 0.489412395833 17.86740125 35.9537129167
85 85 -0.1145438 0.5564147125 20.738068125 37.70851875
86 86 -0.157185836207 0.628572431034 20.0040012931 31.3421836207
87 87 -0.128393860169 0.622368665254 18.0951889831 28.8940292373
88 88 -0.126044179916 0.666515259414 14.6400205021 21.7031100418
89 89 -0.257691254658 0.582078198758 16.1900832298 31.1980465839
90 90 -0.139326888889 0.597970858025 11.4888346296 18.7217216049
91 91 -0.139329201754 0.580479666667 9.63107394737 16.1971260526
92 92 -0.147530166667 0.503978316667 20.8414291667 48.3898733333
93 93 -0.176921355856 0.619668234234 13.8963306306 22.2039036036
94 94 -0.233157857143 0.572992009852 10.3411096059 17.6764842365
95 95 -0.205943753846 0.690823307692 22.4287676923 32.02674
96 96 -0.180257940092 0.671735562212 19.4086497696 28.7952497696
97 97 -0.0905248309859 0.63646357277 16.9515314554 26.5916610329
98 98 -0.107891924051 0.629593253165 16.3411464557 25.9238421941
99 99 -0.12153155 0.555390425 16.95579 30.567426875
100 100 -0.229247504237 0.609200504237 17.393 29.214379661
101 101 -0.343578401674 0.682476200837 12.5545991632 18.223276569
102 102 -0.270833253456 0.617252258065 8.80821529954 13.6367047005
