Length Cht Slope R Lh NEAR_DIST 
30.00000 -0.19200 0.44900 11.20000 25.00000 2969.12286 
30.00000 -0.15100 0.23300 4.55000 11.30000 2970.96958 
30.00000 -0.15000 0.40800 6.99000 17.60000 2975.83359 
30.00000 -0.08900 0.28200 8.54000 30.70000 2973.75519 
29.35000 -0.08740 0.31800 8.15000 25.60000 3188.71405 
30.00000 -0.04580 0.26200 7.23000 27.30000 3190.19865 
30.00000 -0.07120 0.29900 9.76000 33.50000 3196.72974 
30.00000 -0.07900 0.42400 8.53000 20.20000 3215.72289 
30.00000 -0.09370 0.42600 12.10000 28.00000 3219.18141 
30.00000 -0.17300 0.53100 15.90000 30.10000 3219.49456 
30.00000 -0.17300 0.56600 18.90000 33.20000 3231.61545 
30.00000 -0.22800 0.60300 19.50000 32.10000 3235.44183 
30.00000 -0.25700 0.59500 17.40000 29.00000 3250.21821 
30.00000 -0.20400 0.55200 14.10000 25.20000 3258.99253 
30.00000 -0.19000 0.53500 13.50000 24.90000 3262.50939 
30.00000 -0.14700 0.50900 13.60000 26.60000 3278.35227 
30.00000 -0.16300 0.57000 17.70000 30.70000 3296.99451 
30.00000 -0.28400 0.55700 17.60000 31.00000 3310.12527 
30.00000 -0.25600 0.58900 19.40000 32.70000 3320.74185 
30.00000 -0.13500 0.54600 17.80000 32.20000 3321.85519 
30.00000 -0.15200 0.53200 16.10000 29.60000 3332.98894 
30.00000 -0.21800 0.47800 15.80000 32.90000 3349.02104 
11.83000 -0.15200 0.48900 19.30000 39.40000 3367.62311 
18.17000 -0.28400 0.58100 18.70000 32.20000 3071.46302 
30.00000 -0.19300 0.58900 18.00000 30.70000 3084.22784 
30.00000 -0.21200 0.57100 16.30000 28.40000 3091.89324 
30.00000 -0.29000 0.61500 14.60000 23.20000 3097.93467 
30.00000 -0.34000 0.65200 15.80000 23.70000 3107.62061 
30.00000 -0.37600 0.66800 18.00000 26.40000 3114.17734 
26.73000 -0.20800 0.61600 17.60000 28.30000 3115.12478 
30.00000 -0.19300 0.60000 15.50000 25.50000 2992.53448 
23.23000 -0.21500 0.66100 14.40000 21.80000 3007.66635 
30.00000 -0.08810 0.23200 5.15000 22.10000 2969.27372 
26.56000 -0.05290 0.30000 9.41000 31.00000 3254.99905 
30.00000 0.04990 0.22400 3.95000 16.20000 3242.39814 
28.87000 -0.14700 0.38300 8.52000 23.80000 3296.95887 
30.00000 -0.22900 0.41600 7.48000 18.40000 3295.17215 
30.00000 -0.17400 0.41100 9.51000 23.60000 3302.36862 
30.00000 -0.21500 0.50800 12.60000 25.20000 3309.91495 
30.00000 -0.20200 0.54700 10.30000 18.30000 3313.78803 
30.00000 -0.12900 0.46900 8.29000 17.30000 3318.95665 
17.63000 -0.17900 0.49800 18.20000 36.00000 3323.34351 
12.37000 -0.19700 0.54400 14.20000 25.80000 3131.12603 
30.00000 -0.18200 0.47700 6.42000 13.00000 3138.03312 
30.00000 -0.25700 0.47200 6.70000 14.10000 3158.77107 
30.00000 -0.09510 0.25600 8.60000 33.50000 3179.89805 
20.37000 -0.17100 0.41600 10.10000 24.60000 3348.19645 
30.00000 -0.20600 0.48000 10.60000 22.10000 3356.73183 
30.00000 -0.22200 0.48700 12.30000 25.40000 3368.25370 
30.00000 -0.21200 0.54700 12.70000 23.20000 3380.91953 
30.00000 -0.14100 0.51900 14.50000 27.70000 3391.45726 
22.76000 -0.12800 0.28500 3.99000 14.20000 3395.38628 
30.00000 -0.08660 0.25100 5.17000 20.50000 3388.35467 
30.00000 -0.09170 0.28300 4.94000 17.80000 3399.80304 
30.00000 -0.18700 0.38000 5.01000 12.90000 3410.10276 
23.36000 -0.20500 0.52700 14.60000 27.50000 3417.26644 
30.00000 -0.18300 0.48600 13.20000 27.30000 3160.26190 
30.00000 -0.16900 0.42400 9.17000 21.80000 3175.01080 
24.36000 -0.10000 0.31800 12.40000 38.80000 3195.31130 
30.00000 -0.11900 0.36700 9.26000 25.70000 3549.06896 
30.00000 -0.09880 0.41700 12.30000 29.10000 3553.14623 
30.00000 -0.17100 0.51800 13.40000 26.30000 3561.34892 
30.00000 -0.17100 0.49800 15.10000 30.00000 3567.13342 
30.00000 -0.30400 0.55300 15.50000 27.60000 3578.79751 
30.00000 -0.27500 0.56500 16.20000 28.30000 3583.87899 
30.00000 -0.25400 0.55000 15.60000 28.00000 3596.36879 
